epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2258,2.71966,0.3182,0.54053,3.53867,1.80012,0.44588,0.46369,0.39253,0.16235,0.5352,0.56425,0.54626,0.5273,1.78122,0.13226,0.11173,2.30622,1.19128,0.000661157,0.000661157,0.000661157
2,44.1371,1.93626,0.13038,0.18153,1.53075,1.25742,0.64095,0.551,0.59163,0.27803,0.68045,0.63966,0.70094,0.69347,1.70195,0.08699,0.03313,1.40574,1.1249,0.00132125,0.00132125,0.00132125
3,55.5819,1.82233,0.10946,0.11939,1.38392,1.19073,0.62383,0.62291,0.65316,0.33519,0.71408,0.66972,0.74117,0.73525,1.61357,0.07317,0.03006,1.35772,1.09624,0.00197474,0.00197474,0.00197474
4,67.0174,1.72883,0.09482,0.1004,1.25692,1.18588,0.68767,0.64525,0.68536,0.36013,0.75037,0.69413,0.77311,0.76662,1.52925,0.06499,0.02482,1.25534,1.08822,0.0019703,0.0019703,0.0019703
5,78.6879,1.68786,0.08707,0.08272,1.22077,1.1658,0.7154,0.69134,0.72245,0.37459,0.74947,0.72207,0.79213,0.78721,1.51398,0.05915,0.01805,1.12901,1.07366,0.0019604,0.0019604,0.0019604
6,91.5908,1.64055,0.07895,0.07974,1.17723,1.12689,0.72783,0.6648,0.72136,0.39068,0.78288,0.71508,0.8062,0.8026,1.56363,0.05608,0.01449,1.12184,1.07213,0.0019505,0.0019505,0.0019505
7,106,1.59949,0.07147,0.07695,1.15988,1.136,0.71211,0.68156,0.70375,0.38962,0.74183,0.73464,0.78457,0.77955,1.44408,0.05413,0.01023,1.17808,1.05272,0.0019406,0.0019406,0.0019406
8,120.159,1.56572,0.06953,0.07044,1.09323,1.09957,0.76584,0.7081,0.76396,0.41984,0.79688,0.7486,0.83133,0.8272,1.51381,0.04963,0.01411,1.09337,1.04093,0.0019307,0.0019307,0.0019307
9,135.142,1.56647,0.07033,0.06329,1.10253,1.08904,0.76082,0.71972,0.75766,0.4265,0.79151,0.76536,0.82259,0.82003,1.43812,0.04807,0.01203,1.03233,1.01899,0.0019208,0.0019208,0.0019208
10,148.333,1.54767,0.06529,0.06611,1.07725,1.11426,0.78247,0.66899,0.75646,0.43034,0.81245,0.71369,0.81514,0.81178,1.41393,0.047,0.0083,1.07104,1.02101,0.0019109,0.0019109,0.0019109
