epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8986,4.81365,0.50489,0.63611,8.34498,3.89205,0,0,0,0,0.02478,0.83659,0.05898,0.0383,5.78416,0.52884,1.0713,17.1898,4.95334,0.000661157,0.000661157,0.000661157
2,45.2231,3.55844,0.26105,0.36176,3.87261,2.70574,0.1869,0.0838,0.03921,0.01239,0.39257,0.17601,0.19978,0.18385,2.97269,0.21163,0.28675,2.99876,2.13187,0.00132125,0.00132125,0.00132125
3,57.0317,2.9238,0.20518,0.23159,2.81841,1.94779,0.29909,0.18436,0.13574,0.04543,0.38256,0.38162,0.33897,0.30562,2.517,0.22377,0.12063,3.23368,1.66577,0.00197474,0.00197474,0.00197474
4,68.7604,2.64565,0.17593,0.20223,2.36534,1.78423,0.34059,0.27095,0.21961,0.07887,0.45157,0.42598,0.40698,0.39152,2.36057,0.12425,0.05738,2.07454,1.56506,0.0019703,0.0019703,0.0019703
5,80.5268,2.53127,0.15626,0.17288,2.22672,1.72582,0.30937,0.25838,0.22614,0.08858,0.40111,0.37151,0.35648,0.34036,2.11614,0.11705,0.06076,2.03897,1.48007,0.0019604,0.0019604,0.0019604
6,92.3381,2.3518,0.14587,0.15865,2.02678,1.59662,0.47543,0.40363,0.36493,0.1444,0.59005,0.5106,0.55401,0.54436,2.08,0.11354,0.05241,1.72642,1.43335,0.0019505,0.0019505,0.0019505
7,104.129,2.3244,0.13267,0.17125,1.94035,1.61229,0.4055,0.40223,0.32162,0.11301,0.5371,0.50419,0.50661,0.50159,2.03743,0.10293,0.03691,1.79499,1.38281,0.0019406,0.0019406,0.0019406
8,115.968,2.26019,0.13176,0.14391,1.83833,1.54496,0.53271,0.42179,0.41719,0.16942,0.59578,0.50978,0.55656,0.54678,1.94847,0.10196,0.02994,1.6795,1.37726,0.0019307,0.0019307,0.0019307
9,127.64,2.17722,0.12229,0.13065,1.73179,1.49171,0.54633,0.43017,0.43823,0.19848,0.60874,0.50698,0.5595,0.55365,1.84252,0.09392,0.06189,1.49527,1.35386,0.0019208,0.0019208,0.0019208
10,139.457,2.13738,0.11931,0.11698,1.70273,1.54088,0.56527,0.42458,0.46737,0.20981,0.59887,0.48603,0.56995,0.56426,1.81156,0.08425,0.03263,1.60034,1.32256,0.0019109,0.0019109,0.0019109
11,151.14,2.04161,0.11182,0.09943,1.57641,1.41494,0.6176,0.47486,0.50455,0.22848,0.66342,0.56844,0.63048,0.62529,1.81418,0.07693,0.02627,1.50758,1.30269,0.001901,0.001901,0.001901
12,162.804,2.00968,0.10794,0.10686,1.55979,1.42428,0.54119,0.43017,0.45001,0.19955,0.57244,0.49581,0.54337,0.53845,1.83283,0.08876,0.03568,1.67621,1.32183,0.0018911,0.0018911,0.0018911
13,174.46,1.95611,0.10512,0.10222,1.53195,1.41074,0.62597,0.46508,0.51906,0.25779,0.64404,0.55028,0.61856,0.61435,1.70534,0.07263,0.03113,1.33582,1.25432,0.0018812,0.0018812,0.0018812
14,186.26,1.99456,0.10607,0.09594,1.57317,1.4113,0.54491,0.46369,0.48638,0.22821,0.58803,0.52429,0.56741,0.56189,1.76319,0.07544,0.03904,1.41426,1.28802,0.0018713,0.0018713,0.0018713
15,197.829,1.92619,0.10203,0.08359,1.48935,1.36436,0.57545,0.53212,0.54226,0.26837,0.62251,0.58659,0.64663,0.64284,1.66946,0.06504,0.02126,1.31307,1.2515,0.0018614,0.0018614,0.0018614
16,209.638,1.95133,0.09355,0.08309,1.49889,1.39884,0.63413,0.46369,0.52672,0.26501,0.67173,0.54016,0.63223,0.62763,1.65301,0.07161,0.03553,1.34043,1.26839,0.0018515,0.0018515,0.0018515
