epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2719,3.987,0.34011,0.9613,5.69617,4.01333,6e-05,0.00279,3e-05,0,0.02028,0.88268,0.05948,0.03952,4.32362,0.21168,0.90763,5.88338,4.05949,0.000661157,0.000661157,0.000661157
2,56.8207,3.12158,0.20976,0.72902,4.07474,3.02253,0.16151,0.12859,0.0561,0.01835,0.25392,0.22626,0.17141,0.15654,2.59298,0.15915,0.75584,3.12137,2.41559,0.00132125,0.00132125,0.00132125
3,71.7508,2.64905,0.1639,0.59844,3.26028,2.36295,0.2579,0.1893,0.13397,0.05516,0.27724,0.26676,0.22416,0.20969,2.24486,0.13011,0.5141,2.64071,2.01916,0.00197474,0.00197474,0.00197474
4,86.6355,2.39059,0.14288,0.46897,2.76593,2.13143,0.36751,0.26397,0.23362,0.10086,0.40174,0.36453,0.34717,0.32997,2.09673,0.12567,0.36316,2.29303,1.90634,0.0019703,0.0019703,0.0019703
5,101.679,2.26782,0.1387,0.34499,2.56273,2.02059,0.46547,0.26536,0.27199,0.13053,0.42517,0.37151,0.3823,0.36598,1.99005,0.11388,0.23723,2.17872,1.76555,0.0019604,0.0019604,0.0019604
6,116.621,2.13384,0.13454,0.25076,2.32328,1.88422,0.47363,0.40084,0.39204,0.17368,0.55669,0.48045,0.5143,0.50748,1.83602,0.10985,0.1084,1.9829,1.68819,0.0019505,0.0019505,0.0019505
7,131.668,2.09317,0.12471,0.21695,2.19768,1.89225,0.46087,0.37989,0.37218,0.17533,0.52138,0.44693,0.47667,0.46919,1.88075,0.09975,0.11609,1.89482,1.71152,0.0019406,0.0019406,0.0019406
8,146.955,2.02533,0.11744,0.19041,2.08019,1.83016,0.51355,0.40782,0.40799,0.19511,0.54167,0.47067,0.4995,0.49432,1.81258,0.08585,0.0795,1.88131,1.6758,0.0019307,0.0019307,0.0019307
9,162.184,1.98561,0.10407,0.17358,1.99835,1.76235,0.53622,0.45531,0.47195,0.21402,0.62011,0.52654,0.58632,0.58079,1.73127,0.08058,0.05877,1.71798,1.62659,0.0019208,0.0019208,0.0019208
10,177.107,1.97171,0.09758,0.16246,1.95038,1.79582,0.52855,0.47765,0.48951,0.24242,0.58697,0.54781,0.59203,0.58084,1.70647,0.0764,0.04779,1.64717,1.5703,0.0019109,0.0019109,0.0019109
11,192.138,1.88295,0.09152,0.13927,1.80367,1.66772,0.57479,0.51955,0.52357,0.23676,0.60843,0.60981,0.61559,0.61049,1.72458,0.07562,0.04626,1.8241,1.57083,0.001901,0.001901,0.001901
12,207.071,1.86389,0.08718,0.14021,1.76974,1.66967,0.62501,0.47067,0.53276,0.28282,0.64787,0.51536,0.61427,0.60815,1.58762,0.06234,0.04786,1.53737,1.50229,0.0018911,0.0018911,0.0018911
13,222.149,1.81809,0.08558,0.13885,1.7477,1.64815,0.52701,0.48743,0.48684,0.2555,0.57091,0.55866,0.58307,0.57019,1.64663,0.06194,0.04922,1.57346,1.53461,0.0018812,0.0018812,0.0018812
14,237.205,1.80357,0.08342,0.13332,1.7094,1.62876,0.57731,0.51257,0.53731,0.26737,0.62391,0.59358,0.63184,0.62569,1.62593,0.05862,0.05565,1.52879,1.50304,0.0018713,0.0018713,0.0018713
15,252.137,1.75696,0.08114,0.11284,1.63278,1.56177,0.58419,0.51955,0.555,0.28993,0.62647,0.5852,0.63233,0.62563,1.57759,0.06091,0.03247,1.52425,1.48269,0.0018614,0.0018614,0.0018614
16,266.999,1.77442,0.07537,0.11782,1.66277,1.61549,0.57463,0.51676,0.53307,0.28862,0.62433,0.56145,0.61415,0.6045,1.55764,0.05371,0.042,1.49866,1.47424,0.0018515,0.0018515,0.0018515
17,281.978,1.71526,0.07407,0.11282,1.57798,1.54144,0.61407,0.53771,0.57959,0.2924,0.66641,0.60196,0.66889,0.66391,1.61028,0.05252,0.02338,1.55379,1.47507,0.0018416,0.0018416,0.0018416
18,296.874,1.76511,0.07541,0.10594,1.61713,1.59646,0.641,0.51955,0.58861,0.30577,0.67848,0.58946,0.68092,0.67909,1.5557,0.05126,0.02412,1.42973,1.46934,0.0018317,0.0018317,0.0018317
19,311.83,1.70298,0.07059,0.09427,1.55999,1.53007,0.64237,0.58201,0.60377,0.3232,0.67831,0.62151,0.67101,0.6639,1.51321,0.05192,0.02468,1.50667,1.40957,0.0018218,0.0018218,0.0018218
20,326.833,1.67879,0.06884,0.09697,1.49684,1.54004,0.69753,0.5701,0.62335,0.32715,0.70442,0.62849,0.69581,0.69002,1.5368,0.04996,0.02871,1.40866,1.42786,0.0018119,0.0018119,0.0018119
21,341.811,1.65729,0.06541,0.08684,1.47816,1.51218,0.65799,0.57501,0.6287,0.32885,0.69955,0.64944,0.72398,0.72051,1.49308,0.049,0.01617,1.42869,1.42138,0.001802,0.001802,0.001802
22,356.897,1.6636,0.06584,0.08132,1.47372,1.49894,0.61909,0.55028,0.61811,0.30695,0.70552,0.60894,0.71308,0.71023,1.49482,0.04773,0.01481,1.38229,1.41636,0.0017921,0.0017921,0.0017921
23,371.798,1.6428,0.06457,0.08523,1.46254,1.51377,0.73081,0.59358,0.66728,0.36266,0.73312,0.65363,0.7427,0.73883,1.48708,0.04508,0.01115,1.38638,1.39407,0.0017822,0.0017822,0.0017822
24,386.632,1.62361,0.06396,0.07908,1.44449,1.49327,0.72079,0.58659,0.6753,0.37257,0.75793,0.64719,0.75094,0.74749,1.456,0.04759,0.0151,1.34038,1.38795,0.0017723,0.0017723,0.0017723
25,401.882,1.58834,0.06269,0.07324,1.3913,1.45607,0.70542,0.61313,0.66598,0.36466,0.74238,0.64525,0.73699,0.73562,1.47662,0.04604,0.01314,1.31398,1.37468,0.0017624,0.0017624,0.0017624
26,416.829,1.6033,0.05953,0.07712,1.39767,1.46602,0.70157,0.5838,0.66163,0.35905,0.70933,0.67039,0.74471,0.74095,1.4592,0.04547,0.0156,1.41892,1.3872,0.0017525,0.0017525,0.0017525
27,431.68,1.57399,0.06244,0.07275,1.38335,1.42959,0.70453,0.61872,0.68091,0.38145,0.73109,0.67587,0.74962,0.74619,1.40752,0.04447,0.0204,1.21834,1.35112,0.0017426,0.0017426,0.0017426
28,446.482,1.56973,0.05942,0.06525,1.3686,1.44811,0.72263,0.62709,0.68771,0.38116,0.75929,0.68726,0.75999,0.75567,1.42526,0.04164,0.01067,1.25732,1.35324,0.0017327,0.0017327,0.0017327
29,461.421,1.55929,0.06554,0.06609,1.3321,1.4171,0.71138,0.59218,0.66694,0.36115,0.7379,0.64246,0.73203,0.72864,1.46351,0.04583,0.00961,1.34801,1.36635,0.0017228,0.0017228,0.0017228
