epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1132,2.67708,0.40661,0.41721,3.23006,1.78423,0.48389,0.42179,0.41009,0.17888,0.58722,0.52514,0.55283,0.53855,1.7723,0.16088,0.06893,2.47674,1.21493,0.000661157,0.000661157,0.000661157
2,25.6486,1.93134,0.13333,0.15368,1.58273,1.29652,0.54718,0.51257,0.50725,0.21887,0.60989,0.58299,0.60839,0.60575,1.74084,0.08951,0.0262,1.38641,1.18896,0.00132125,0.00132125,0.00132125
3,35.7797,1.84375,0.11193,0.1022,1.43799,1.21677,0.65401,0.56844,0.62407,0.30934,0.72793,0.63268,0.72184,0.71638,1.64199,0.06999,0.02351,1.3531,1.13334,0.00197474,0.00197474,0.00197474
4,45.9046,1.71369,0.09589,0.08977,1.27145,1.20061,0.66282,0.57656,0.62706,0.30729,0.70462,0.65966,0.73157,0.72141,1.597,0.06907,0.01984,1.4546,1.10855,0.0019703,0.0019703,0.0019703
5,56.1296,1.67504,0.08843,0.07681,1.23823,1.18422,0.77749,0.61977,0.70969,0.3828,0.84215,0.67062,0.79035,0.78783,1.48633,0.0614,0.01374,1.0711,1.07428,0.0019604,0.0019604,0.0019604
6,66.3533,1.61718,0.08156,0.07575,1.17676,1.14004,0.82601,0.67458,0.76493,0.43263,0.85432,0.71369,0.82889,0.82665,1.41521,0.05338,0.00863,1.06585,1.05943,0.0019505,0.0019505,0.0019505
7,76.5627,1.58568,0.07041,0.07228,1.14904,1.15048,0.76517,0.67806,0.73997,0.39634,0.80852,0.73127,0.8089,0.80554,1.49256,0.05865,0.00636,1.14484,1.07848,0.0019406,0.0019406,0.0019406
8,86.7845,1.55931,0.06861,0.06925,1.09289,1.11744,0.79014,0.68156,0.75268,0.4269,0.81611,0.73762,0.83343,0.83017,1.43434,0.04539,0.01031,1.03893,1.05306,0.0019307,0.0019307,0.0019307
9,96.9662,1.56156,0.06909,0.05969,1.08663,1.12238,0.7847,0.71266,0.75659,0.42909,0.82763,0.76257,0.83845,0.83596,1.43605,0.04834,0.00682,1.09753,1.06812,0.0019208,0.0019208,0.0019208
10,107.177,1.5385,0.06528,0.0609,1.06705,1.13592,0.82568,0.71446,0.78379,0.43891,0.86004,0.76117,0.85276,0.85007,1.42566,0.04612,0.00595,1.00562,1.0483,0.0019109,0.0019109,0.0019109
11,117.482,1.47117,0.0597,0.05577,1.00954,1.07138,0.85219,0.67737,0.77713,0.44748,0.86412,0.71089,0.83241,0.83023,1.32324,0.04553,0.0083,0.9861,1.01573,0.001901,0.001901,0.001901
12,127.727,1.467,0.05983,0.05801,1.03448,1.08524,0.79369,0.70531,0.76766,0.44758,0.83091,0.74022,0.83398,0.83007,1.34317,0.04145,0.01144,1.04688,1.021,0.0018911,0.0018911,0.0018911
13,138.038,1.46702,0.05891,0.05903,1.01885,1.08208,0.81681,0.69746,0.77733,0.44783,0.84373,0.73899,0.84515,0.84196,1.40258,0.04408,0.0065,1.02854,1.02719,0.0018812,0.0018812,0.0018812
14,148.293,1.45974,0.0553,0.0578,0.9837,1.07023,0.83433,0.71041,0.78999,0.48134,0.86852,0.76397,0.85998,0.85701,1.30111,0.03852,0.006,0.95626,1.00477,0.0018713,0.0018713,0.0018713
15,158.588,1.38987,0.05659,0.04377,0.95411,1.04373,0.77343,0.71648,0.76631,0.45114,0.82264,0.76441,0.83514,0.8327,1.35378,0.03748,0.00427,1.0033,1.01132,0.0018614,0.0018614,0.0018614
16,168.989,1.42293,0.05294,0.05359,0.97986,1.07267,0.78146,0.72415,0.76727,0.46695,0.83071,0.75838,0.8376,0.83505,1.33305,0.04294,0.00654,1.02271,0.99947,0.0018515,0.0018515,0.0018515
17,179.417,1.37999,0.05354,0.04744,0.953,1.03736,0.81078,0.75698,0.79632,0.47025,0.83813,0.80028,0.86369,0.86017,1.2843,0.03832,0.00492,1.05559,1.00316,0.0018416,0.0018416,0.0018416
18,189.563,1.40287,0.05334,0.05125,0.96299,1.06923,0.7917,0.73784,0.78177,0.47054,0.84096,0.76065,0.84132,0.83907,1.30679,0.0381,0.00661,0.9847,1.00196,0.0018317,0.0018317,0.0018317
19,199.941,1.39383,0.04886,0.04854,0.94858,1.047,0.81604,0.77235,0.81336,0.48959,0.83904,0.80811,0.87782,0.8745,1.30753,0.03537,0.00423,0.94747,1.00066,0.0018218,0.0018218,0.0018218
20,210.076,1.35331,0.04991,0.055,0.93529,1.04167,0.811,0.74022,0.79756,0.48679,0.8392,0.7872,0.86969,0.86688,1.28304,0.03729,0.00513,1.00427,0.9967,0.0018119,0.0018119,0.0018119
21,220.217,1.33387,0.04832,0.04362,0.90836,1.02595,0.83744,0.73184,0.80334,0.49384,0.8694,0.75978,0.8582,0.85706,1.3011,0.0381,0.00326,0.91828,0.99542,0.001802,0.001802,0.001802
22,230.347,1.33628,0.0469,0.04449,0.89678,1.02016,0.78895,0.70112,0.76262,0.46168,0.83621,0.72733,0.8303,0.82773,1.3452,0.03951,0.00794,1.06655,1.00303,0.0017921,0.0017921,0.0017921
23,240.465,1.3205,0.04804,0.04965,0.8968,1.03706,0.83344,0.75476,0.82125,0.51283,0.84664,0.79419,0.87347,0.87048,1.23433,0.03557,0.00556,0.87189,0.97805,0.0017822,0.0017822,0.0017822
24,250.799,1.29475,0.04576,0.04448,0.87447,1.02129,0.83104,0.74302,0.80512,0.49526,0.84174,0.79482,0.87285,0.86953,1.23398,0.0334,0.00533,0.95918,0.97704,0.0017723,0.0017723,0.0017723
25,261.02,1.30492,0.04739,0.0464,0.88915,1.01044,0.83481,0.71287,0.79916,0.49488,0.86799,0.74581,0.85548,0.85169,1.26533,0.03617,0.00436,0.96376,0.97253,0.0017624,0.0017624,0.0017624
26,271.214,1.29167,0.04347,0.05349,0.87605,1.01303,0.8492,0.74302,0.82197,0.51234,0.85238,0.80647,0.88949,0.88659,1.27144,0.03478,0.0028,0.87507,0.99161,0.0017525,0.0017525,0.0017525
27,281.366,1.29302,0.04616,0.04677,0.86791,0.99372,0.86583,0.74805,0.83181,0.51427,0.84923,0.80726,0.88476,0.88001,1.2628,0.03393,0.00358,0.84484,0.9841,0.0017426,0.0017426,0.0017426
